rtcom,https://rt.com,10
rbc,https://rbc.ru,10
lentaru,https://lenta.ru,5
tass,https://tass.ru,5
cbr,https://cbr.ru,2
gazprom,https://www.gazprom.ru,2
lukoil,https://lukoil.ru,2
magnit,https://magnit.ru,2
nornikel,https://www.nornickel.com,2
surgutneftegas,https://www.surgutneftegas.ru,2
tatneft,https://www.tatneft.ru,2
evraz,https://www.evraz.com/ru,2
nlmk,https://nlmk.com,2
sibur,https://www.sibur.ru,2
severstal,https://www.severstal.com,2
metalloinvest,https://www.metalloinvest.com,2
nangs,https://nangs.org,2
rmkgroup,https://rmk-group.ru/ru,1
tmkgroup,https://www.tmk-group.ru,1
ya,https://ya.ru,1
polymetal,https://www.polymetalinternational.com/ru,1
uralkali,https://www.uralkali.com/ru,1
eurosib,https://www.eurosib.ru,1
omk,https://omk.ru,1
sberbank,https://sberbank.ru,10
vtb,https://www.vtb.ru,10
gazprombank,https://www.gazprombank.ru,10
gosuslugi,https://www.gosuslugi.ru,10
mosgosuslugi,https://www.mos.ru/uslugi,10
kremlin,http://kremlin.ru,10
gov,http://government.ru,2
mil,https://mil.ru,5
nalog,https://www.nalog.gov.ru,5
customs,https://customs.gov.ru,5
pfr,https://pfr.gov.ru,5
rkn,https://rkn.gov.ru,5
